${0},,
"Batch not set for row ${0}.",,
"Batch set for row ${0}.",,
"Before 31 March ${0}",,
"Bill Created","Factura creada",
Billing,,
Billion,,
Black,Negre,
Blue,,
Bonus,,
Both,Ambdós,
"Both From and To Location cannot be undefined",,
Buildings,Buildings,
CHE-123.456.789,,
CIN,,
CNAS,,
"CNAS Employee Rate",,
"CNAS Employer Rate",,
"CNAS Number",,
"Can Change Discount",,
"Can Change Rate",,
Cancel,Cancel·la,
"Cancel ${0}?",,
"Cancel Button Colour",,
"Cancel or Delete an entry.",,
Cancelled,Cancel·lat,
"Cannot Commit Error",,
"Cannot Delete",,
"Cannot Delete Account",,
"Cannot Export",,
"Cannot Import",,
"Cannot Open File",,
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}",,
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot open file",,
"Cannot perform operation.",,
"Cannot read file",,
"Capital Equipments","Capital Equipments",
"Capital Stock","Capital Stock",
Cash,Efectiu,
"Cash Denominations",,
"Cash Entry","Entrades d'efectiu",
"Cash In Denominations",,
"Cash In Hand","Efectiu disponible",
Cashflow,Flux,
Casual,,
"Casual Leave",,
Ceil,,
"Ceiling for the professional expense abatement (DZD). Narrow-band smoothing only — see code comment in payroll.ts. Not applied to match the official worked example.",,
"Central Tax",Tributacions,
"Change DB",,
"Change File","Canviar fitxer",
"Change Ref Type",,
"Changes made to settings will be visible on reload.",,
Chargeable,,
"Chart Of Accounts Reviewed","Diagrama de comptes revisat",
"Chart of Accounts","Diagrama de comptes",
Check,,
"Check Digits",,
"City / Town",Ciutat,
Classic,,
Clear,,
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date","Data de neteja",
"Clearance Date not set.",,
"Clicking continue will remove all the selected items.",,
Close,Tancar,
"Close Frappe Books and try manually.",,
"Close POS Shift",,
"Close Quick Search",,
Closing,,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","Tancant (Cr)",
"Closing (Dr)","Tancant (Dr)",
"Closing Amount",,
"Closing Amounts",,
"Closing Cash",,
"Closing Cash In Denominations",,
"Closing Date",,
Code,,
Collapse,,
"Collection Factor",,
"Collection Rules",,
Color,Color,
Colour,,
"Commission on Sales","Comisions de venda",
Common,Comuns,
Company,,
"Company Logo","Logotip de l'empresa",
"Company Name","Nom de l'empresa",
"Company Setup","Configuració de l'empresa",
Completed,Completat,
Condition,,
"Consolidate Columns",,
Consumer,,
Contact,,
Contacts,,
Contains,Conté,
Continue,,
"Continue submitting Sales Invoice?",,
"Contra Entry","Entrades en contra",
"Conversion Error",,
"Conversion Factor",,
Converted,,
"Cost Of Goods Sold Acc.",,
"Cost of Goods Sold","Cost dels béns venuts",
"Could not connect to database file ${0}, please select the file manually",,
Count,,
"Counter Cash Account",,
Country,País,
"Country Code",,
"Country code used to initialize regional settings.",,
"Coupon ${0} is not applicable for applied items.",,
"Coupon Code",,
"Coupon Name",,
Coupons,,
Courier,,
Cr.,,
"Cr. ${0}",,
Create,Crear,
"Create Demo",,
"Create Payment.",,
"Create Purchase",,
"Create Purchase Invoice",,
"Create Sale",,
"Create Sales Invoice",,
"Create a demo company to try out Frappe Books",,
"Create a new company and store it on your computer",,
"Create a new company or select an existing one from your computer",,
"Create a new entry of the same type as the List View",,
"Create new ${0} entry?",,
"Create your first purchase invoice from the created supplier",,
"Create your first sales invoice for the created customer",,
Created,,
"Created By",,
"Creating Items and Parties",,
"Creating Journal Entries",,
"Creating Purchase Invoices",,
Credit,Crèdit,
"Credit Card Entry","Entrada de targeta de crèdit",
"Credit Note","Nota de crèdit",
Creditors,Creditors,
Currency,Divisa,
"Currency Name","Nom de la divisa",
Current,Actual,
"Current Assets","Actius actuals",
"Current Liabilities","Obligacions actuals",
"Custom Field",,
"Custom Fields",,
"Custom Form",,
"Custom Hex","Hexadecimal personalitzat",
Customer,Customer,
"Customer Created","Client creat",
"Customer Currency","Divisa del client",
"Customer has no loyalty points to redeem",,
Customers,Clients,
Customizations,,
"Customize Form",,
"Customize your invoices by adding a logo and address details","Personalitza les teves factures afegint-hi un logotip i l'adreça",
"DAS - Annual Wages",,
"DTS - Quarterly Wages",,
"Dark mode",,
Dashboard,Tauler,
Data,,
"Data Sync Interval (In Minutes)",,
"Database Error",,
"Database file: ${0}",,
Date,Data,
"Date Format","Format de la data",
"Date Time",,
"Date of Birth",,
Day,,
Debit,Dèbit,
"Debit Note","Nota de dèbil",
Debtors,Deutors,
Dec,,
December,,
"Decrease print template display scale",,
Default,,
"Default Account","Compte per defecte",
"Default Cash Denominations",,
"Default Location",,
Defaults,,
Delete,Eliminar,
"Delete ${0}?",,
"Delete Account",,
"Delete Failed",,
"Delete Group",,
Delivered,,
Denomination,,
Department,,
Depreciation,Depreciació,
"Depreciation Entry","Entrada de depreciació",
Description,Descripció,
Designation,,
Details,Detalls,
"Device ID",,
"Device is offline. Please connect to a network to continue.",,
"Difference Amount",,
"Direct Expenses","Despeses directes",
"Direct Income","Ingressos directes",
"Directory for database file ${0} does not exist, please select the file manually",,
Disabled,,
"Discount Account",,
"Discount Account is not set.",,
"Discount Amount",,
"Discount Amount (${0}) cannot be greated than Amount (${1}).",,
"Discount Percent",,
"Discount Percent (${0}) cannot be greater than 100.",,
"Discount Percentage",,
"Discount Type",,
"Discounted Amount",,
Discounts,,
"Display Amount In Words",,
"Display Description In Invoice",,
"Display Doc",,
"Display Logo in Invoice","Mostra el logotip a la factura",
"Display Precision","Precisió de la pantalla",
"Display Precision should have a value between 0 and 9.","Precisión de la pantalla ha de tenir un valor entre 0 i 9.",
"Display Scale",,
"Display Terms and Conditions",,
"Display Time In Invoice",,
"Dividends Paid","Divindends pagats",
"Do not Contact",,
"Doc ${0} ${1} not set",,
Docs,,
"Document Name",,
Documentation,Documentació,
"Does Not Contain","No conté",
Done,,
Dr.,,
"Dr. ${0}",,
Draft,Esborrany,
Duplicate,Duplicar,
"Duplicate Entry",,
"Duplicate Template",,
"Duplicate columns found: ${0}",,
"Duties and Taxes","Deures i taxes",
"Dynamic Link",,
"ERP Sync Items",,
"ERPNext Sync",,
"ERPNext Sync Queue",,
"ERPNext Sync Settings",,
"Earnest Money","Paga i senyal",
Earnings,,
Eight,,
Eighteen,,
Eighty,,
"Electronic Equipments","Equips electrònics",
Eleven,,
Email,"Correu electrònic",
"Email Address","Correu electrònic",
"Emergency Leave",,
Employee,,
"Employee ""${0}"" was not found",,
"Employee CNAS",,
"Employee CNAS (9%)",,
"Employee CNAS contribution rate as a percentage of gross salary. Default 9%.",,
"Employee Name",,
"Employee is required to compute the salary slip payroll",,
Employees,,
"Employer CNAS",,
"Employer CNAS (26%)",,
"Employer CNAS contribution rate as a percentage of gross salary. Default 26%.",,
Employment,,
"Employment Type",,
Empty,Buit,
"Empty file selected",,
"Enable Barcodes",,
"Enable Batches",,
"Enable Coupon Code",,
"Enable Discount Accounting",,
"Enable ERPNext Sync",,
"Enable Form Customization",,
"Enable Inventory",,
"Enable Invoice Returns",,
"Enable Item Enquiry",,
"Enable Item Group",,
"Enable Lead",,
"Enable Loyalty Program",,
"Enable POS Without Inventory",,
"Enable Partial Payment",,
"Enable Partial payment to pay partial amount",,
"Enable Point of Sale",,
"Enable Price List",,
"Enable Pricing Rule",,
"Enable Serial Number",,
"Enable UOM Conversion",,
Enabled,,
"Enabled For",,
"End Date",,
Endpoints,,
"Enter Country to load States",,
"Enter State",,
"Enter barcode",,
"Enter weight barcode",,
"Entertainment Expenses","Despeses d'entreteniment",
Entry,,
"Entry Currency",,
"Entry Label",,
"Entry No","Número de l'entrada",
"Entry No.",,
"Entry Type","Tipus d'entrada",
"Entry has Grand Total ${0}. Please verify amounts.",,
Equity,Capital,
Error,Error,
"Exchange Gain/Loss","Canvi de guanys/pèrdues",
"Exchange Rate","Taxa d'intercanvi",
"Excise Entry","Entrada d'impostos especials",
"Existing Company",,
Expand,,
"Expected Amount",,
Expense,Despesa,
"Expense Account",,
Expenses,Despeses,
"Expenses Included In Valuation","Despeses incloses en el valor",
Expired,,
"Expiry Date",,
"Expiry Duration",,
Export,Exportar,
"Export Failed",,
"Export Format",,
"Export Successful","Exportació correcta",
"Export Wizard",,
"FBooks Integration Version",,
Failed,,
"Failed to load batches",,
Fax,Fax,
Features,,
Feb,,
February,,
"Fetch Data From ERPNext",,
"Fetch From ERPNext Queue",,
Field,,
Fieldname,Nom,
"Fieldname ${0} already exists for ${1}",,
"Fieldname ${0} already used for Custom Field ${1}",,
Fieldtype,,
Fifteen,,
Fifty,,
"File ${0} does not exist.",,
"File selection failed",,
Fill,,
Filter,Filtre,
"Filter by Group",,
"Financial Year",,
"First Name",,
"Fiscal Year",,
"Fiscal Year End Date","Data de finalització de l'any fiscal",
"Fiscal Year Start Date","Data d'inici de l'any fiscal",
Five,,
"Fix Failed",,
"Fixed Asset",,
"Fixed Assets","Actius fixes",
Float,,
Floor,,
"Floor for the professional expense abatement (DZD). Narrow-band smoothing only — see code comment in payroll.ts. Not applied to match the official worked example.",,
"Following cells have errors: ${0}.",,
"Following links do not exist: ${absentLinks .map((l) =>",,
Font,Font,
"For Purchase",,
"For Sales",,
"Forbidden Error",,
"Form Section",,
"Form Tab",,
"Form Type",,
Forty,,
Four,,
Fourteen,,
Fr,,
Fraction,Fracció,
"Fraction Units","Unitats de fracció",
"Frappe Books does not have access to the selected file: ${0}",,
"Free Item",,
"Free item ""${0}"" was not added due to zero quantity",,
"Free items out of stock: ${0}",,
"Freight and Forwarding Charges","Càrregues de transport i reenviaments",
From,,
"From Account","Compte d'arribada",
"From Date","Des de",
"From Lead",,
"From Loc.",,
"From Year",,
"Full Name","Nom complet",
Full-time,,
"Furnitures and Fixtures","Mobiliari i reparacions",
"G50 - IRG Declaration",,
GST,,
"GST Registration",,
GSTIN,,
"GSTIN No.","GSTIN No.",
GSTR1,GSTR1,
GSTR2,GSTR2,
"Gain/Loss on Asset Disposal","Guanys/pèrdues dels actius disposats",
General,General,
"General Ledger","Llibre de comptabilidad general",
"Get Started",Introducció,
Global,,
"Go back to the previous page",,
Gram,,
"Grand Total",Total,
"Greater Than","Més gran que",
Green,,
"Grid View",,
"Gross Salary",,
"Gross Wages",,
"Group By",,
HSN/SAC,HSN/SAC,
"HSN/SAC Code",,
"Half Yearly","Mitja anual",
"Half Years",,
Half-day,,
"Has Batch",,
"Has Serial Number",,
"Height (in cm)",,
Held,,
"Held Button Colour",,
Help,,
"Hex Value","Valor hexadecimal",
"Hidden values will be visible on Print on.",,
"Hide Get Started","Amaga l'introducció",
"Hide Group Amounts",,
"Hide Month/Year",,
"Hide Unavailable Items",,
"Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.","Amaga la secció d'introducció de la barra lateral. El canvi serà efectiu quan reiniciis o refresquis l'aplicació.",
"Hire Date",,
"Hold Q and type digits to set selected item quantity",,
Holiday,,
Hour,,
Hours,,
"Hours Worked",,
Housing,,
Hundred,,
ID,,
INR,,
"IRG (Income Tax)",,
"IRG Bracket 1 Limit",,
"IRG Bracket 1 Rate",,
"IRG Bracket 2 Limit",,
"IRG Bracket 2 Rate",,
"IRG Bracket 3 Limit",,
"IRG Bracket 3 Rate",,
"IRG Bracket 4 Rate",,
"IRG Brackets",,
"IRG Monthly Declaration (G50)",,
"If any entry form is open, save the details. Otherwise, save the invoice.",,
"If any entry form is open, your entry will be canceled. Otherwise the selected items will be removed.",,
"Ignore Pricing Rule",,
Image,Imatge,
"Import Complete",,
"Import Data","Importar dades",
"Import Data.",,
"Import Type","Tipus d'importació",
"Import Wizard",,
"Importer not set, reload tool",,
"In stock",,
Inactive,,
"Include Cancelled",,
Income,Ingressos,
"Income Account",,
"Income tax rate (%) for the 0% band — 0 to 30,000 DZD.",,
"Income tax rate (%) for the 23% band — 30,001 to 120,000 DZD.",,
"Income tax rate (%) for the 27% band — 120,001 to 360,000 DZD.",,
"Income tax rate (%) for the top bracket — above 360,000 DZD.",,
"Increase print template display scale",,
Indigo,,
"Indirect Expenses","Despeses indirectes",
"Indirect Income","Ingressos indirectes",
Inflow,Entrades,
"Initial Sync Data",,
"Instance Id",,
"Insufficient Quantity",,
"Insufficient Quantity.",,
"Insufficient Quantity. Item ${0} has only ${1} quantities available. you selected ${2}",,
Int,,
"Integration Error Log",,
Interested,,
"Intergrated Tax","Taxes integrades",
"Internal Precision","Precisió interna",
"Invalid HSN Code.",,
"Invalid Key Error",,
"Invalid Quantity for Item ${0}",,
"Invalid barcode value ${0}.",,
"Invalid value ${0} for ${1}",,
"Invalid value found for ${0}",,
Inventory,,
"Inventory Items",,
"Inventory Settings",,
Investments,Inversions,
Invoice,Factura,
"Invoice Created","Factura creada",
"Invoice Date","Data de factura",
"Invoice Item",,
"Invoice No","Factura No",
"Invoice No.","Factura No.",
"Invoice Value","Preu de la factura",
Invoices,Factures,
Is,És,
"Is Coupon Code Based",,
"Is Custom",,
"Is Empty","És buit",
"Is Enabled",,
"Is Group","És un grup",
"Is Landscape",,
"Is Not","No és",
"Is Not Empty","No és buit",
"Is POS Shift Open",,
"Is Price List Enabled",,
"Is Pricing Rule Enabled",,
"Is Recursive",,
"Is Required",,
"Is Sync Enabled",,
"Is Whole",,
Item,Elements,
"Item ${0} has Zero Quantity",,
"Item ${0} is a batched item",,
"Item ${0} is not a batched item",,
"Item ${0} is out of stock (quantity is zero)",,
"Item ${0} not found",,
"Item ${0} not in Stock",,
"Item ${0} only has ${1} Quantity",,
"Item ${0} only has ${1} Quantity in batch ${2}",,
"Item Code",,
"Item Code Digits",,
"Item Description",,
"Item Discounts",,
"Item Enquiry",,
"Item Group",,
"Item Name","Nom de l'element",
"Item Prices",,
"Item Visibility",,
"Item enquiry submitted",,
"Item with From location not found",,
"Item with To location not found",,
"Item with barcode ${0} not found.",,
ItemCode,,
Items,Elements,
Jan,,
January,,
"John Doe",,
"Journal Entries",,
"Journal Entry","Entrada del diari",
"Journal Entry Account",,
"Journal Entry Number Series",,
"Journal Entry Print Template",,
Jul,,
July,,
Jun,,
June,,
"Key Hints",,
Kg,,
Label,,
Language,Idiom,
"Last Name",,
Late,,
Lead,,
"Leave Application",,
"Leave Applications",,
"Left Index",,
"Legal Deadline",,
"Legal Expenses","Despeses al llibre de comptabilitat",
"Less Filters",,
"Less Than","Menor que",
Liability,,
Limit,,
Link,,
"Link Validation Error",,
"Linked Entries",,
List,,
"List View",,
"Load an existing company from your computer",,
"Loading Report...",,
"Loading instance...",,
Loading...,Loading...,
"Loans (Liabilities)","Préstecs (Càrregues)",
"Loans and Advances (Assets)","Préstecs i avançaments (Actius)",
Locale,Local,
Location,,
"Location Name",,
Logo,Logotip,
"Loyalty Point Entry",,
"Loyalty Points",,
"Loyalty Points Redemption",,
"Loyalty Program",,
"Loyalty Program Tier",,
"Loyalty program has expired and cannot be applied",,
"Loyalty program has expired or reached maximum usage",,
MISSING_NIN,,
"Make Entry",,
"Make Payment On Submit",,
"Make Purchase Receipt On Submit",,
"Make Shipment On Submit",,
"Mandatory Error",,
Manufacture,,
"Manufacture Date",,
Mar,,
"Mar 23, 2022",,
March,,
"Mark ${0} as submitted?",,
"Marketing Expenses","Despeses de màrqueting",
"Material Issue",,
"Material Receipt",,
"Material Transfer",,
Maternity,,
"Max Amount",,
"Max Qty (As Per Stock Unit)",,
Maxed,,
"Maximum Amount should be greater than the Minimum Amount.",,
"Maximum Amount should be lesser than Pricing Rule's Maximum Amount",,
"Maximum Quantity should be greater than the Minimum Quantity.",,
"Maximum Use",,
May,,
Meter,,
Million,,
"Min Amount",,
"Min Qty (As Per Stock Unit)",,
"Minimum Amount should be greather than the Pricing Rule's Minimum Amount.",,
"Minimum Amount should be less than the Maximum Amount.",,
"Minimum Quantity should be less than the Maximum Quantity.",,
"Minimum Total Spent",,
Misc,,
Miscellaneous,,
"Miscellaneous Expenses","Despeses diverses",
Mo,,
Mobile,,
Modern,,
Modified,,
"Modified By",,
Month,,
Monthly,Mensual,
Months,,
More,,
"More Filters",,
"More shortcuts will be added soon.",,
"Movement Type",,
NIN,,
"NIN (required)",,
Name,Nom,
Navigate,,
"Need ${0} Serial Numbers for Item ${1}. You have provided ${2}",,
"Net Pay",,
"Net Social",,
"Net Total","Net Total",
"New ${0}",,
"New ${0} ${1}",,
"New Account","Compte nou",
"New Company",,
"New Entry",,
"New Template",,
Nine,,
Nineteen,,
Ninety,,
No,No,
"No Display Entries Found",,
"No Print Templates not found for entry type ${0}",,
"No Value",,
"No Values to be Displayed",,
"No entries found",,
"No entries were imported.",,
"No expenses in this period","No hi ha despeses en aquest periode",
"No filters selected","No s'han seleccionat filtres",
"No linked entries found",,
"No results found",,
"No results found, disable filters",,
"No rows added. Select a file or add rows.",,
"No transactions yet","Encara no hi ha transaccions",
"Non Active Serial Number ${0} cannot be used as Manufacture raw material",,
"Non Active Serial Number ${0} cannot be used for Material Issue",,
"Non Active Serial Number ${0} cannot be used for Material Transfer",,
"Non Inactive Serial Number ${0} cannot be used for Material Receipt",,
"Non-Inventory Items",,
None,Cap,
"Not Found",,
"Not Saved",,
"Not Submitted",,
"Not Transferred",,
Notes,Notes,
Nov,,
November,,
"Number Display",,
"Number Series","Sèries numèriques",
"Number of ${0}",,
"Number of Rows",,
"Numéro d'Identification Nationale — legally mandatory per the 2026 Finance Law (required on the DAS declaration).",,
Oct,,
October,,
"Office Equipments","Equipament d'officina",
"Office Maintenance Expenses","Manteniment de material d'oficina",
"Office Rent","Lloguer d'oficina",
Okay,,
"Onboarding Complete","Incorporació completa",
One,,
"Only From or To can be set for Manufacture",,
Open,,
"Open Count",,
"Open Documentation",,
"Open Folder","Obrir carpeta",
"Open POS Shift",,
"Open Print View",,
"Open Print View if Print is available.",,
"Open Quick Search",,
"Open Report Print View",,
"Open Sales Invoice List",,
"Open Saved or Submitted Invoice List.",,
"Open the Export Wizard modal",,
"Opening (Cr)","Obrint (Cr)",
"Opening (Dr)","Obrint (Dr)",
"Opening Amount",,
"Opening Amounts",,
"Opening Balance Equity","Equitat de saldo d'obertura",
"Opening Balances","Saldo d'obertura",
"Opening Cash",,
"Opening Cash Amount can not be negative.",,
"Opening Cash In Denominations",,
"Opening Date",,
"Opening Entry","Obertura d'entrada",
"Opening Shift",,
Opportunity,,
Options,,
Orange,,
Organisation,Organització,
Other,,
"Out stock",,
Outflow,Despeses,
Outstanding,,
"Outstanding Amount","Import excepcional",
Overtime,,
"Overtime Rate",,
"Overtime Total",,
POS,,
"POS Closing Shift",,
"POS Counter Cash Account is not set. Please set it on POS Settings",,
"POS Customer",,
"POS Inventory is not set. Please set it on POS Settings",,
"POS Opening Shift",,
"POS Print Template",,
"POS Profile",,
"POS Settings",,
"POS Shift Amount",,
"POS UI",,
"POS Write Off Account is not set. Please set it on POS Settings",,
"Pad Zeros","Convertir números en text",
Page,,
Paid,Pagat,
"Paid ${0}",,
"Paid Change",,
Paisa,,
Parent,Principal,
"Parent Account","Compte principal",
Part-time,,
"Partly Paid",,
"Partly Paid ${0}",,
Party,Grup,
"Patch Run",,
Paternity,,
Pay,Pagar,
"Pay & Print",,
"Pay And Print Button Colour",,
"Pay Button Colour",,
"Pay Period",,
Payable,,
Payment,Pagament,
"Payment ${0} is Saved",,
"Payment Account",,
"Payment For","Pagament per",
"Payment Method","Mètode de pagament",
"Payment No","Pagament Número",
"Payment Number Series",,
"Payment Print Template",,
"Payment Reference","Referència de pagament",
"Payment Type","Tipus de pagament",
"Payment amount cannot be ${0}.","La quantitat a pagar no pot ser ${0}.",
"Payment amount cannot be less than zero.","La quantitat a pagar no pot ser zero.",
"Payment amount cannot exceed ${0}.","La quantitat a pagar no pot ser superior a ${0}.",
"Payment amount: ${0} should be greater than 0.","Quantitat a pagar: ${0} ha de ser superior a 0.",
"Payment amount: ${0} should be less than Outstanding amount: ${1}.","Quantitat a pagar: ${0} ha de ser menor que l'import exepcional: ${1}.",
"Payment of ${0} will be made from account ""${1}"" to account ""${2}"" on Submit.",,
Payments,Pagaments,
Payroll,,
"Payroll Breakdown",,
"Payroll Payable","Nòmina pagable",
"Payroll Settings",,
Pending,,
"Pending qty. ${0}",,
Period,,
Periodicity,Periodicitat,
Personal,,
Phone,Telèfon,
"Pick Columns",,
"Pick Import Columns",,
Pink,,
Place,Lloc,
"Place of Supply",,
"Place of supply","Lloc de subministrament",
"Plants and Machineries","Plantes i màquines",
"Please Wait",,
"Please add a customer before saving",,
"Please add items",,
"Please check Key Hints for valid key names",,
"Please create a ${0} entry to view Template Preview.",,
"Please fill all values.",,
"Please restart and try again.",,
"Please select a Print Template",,
"Please select a batch first",,
"Please select a customer",,
"Please select a payment method before proceeding with payment.",,
"Please select a payment method before submitting.",,
"Please select a valid reference type.",,
"Please set GSTIN in General Settings.",,
"Please set Round Off Account in the Settings.",,
"Please set a Display Doc",,
"Point of Sale",,
"Points must be greater than 0",,
"Points must be greather than 0",,
"Pos Print Width",,
"Pos Ui",,
"Postal Code","Codi postal",
"Postal Expenses","Expenses d'enviament",
"Posting Date","Data d'enviament",
Prefix,Prefix,
Present,,
"Price Discount",,
"Price Discount Scheme",,
"Price Discount Type",,
"Price List",,
"Price List Item",,
"Pricing Rule",,
"Pricing Rule Detail",,
"Pricing Rule Item",,
"Prime Bank",,
Print,Imprimir,
"Print ${0}",,
"Print Failed",,
"Print Settings","Ajustaments d'impressió",
"Print Setup",,
"Print Successful",,
"Print Template",,
"Print Template Name not set",,
"Print Template is empty",,
"Print Templates",,
"Print View",,
"Print and Stationery","Print and Stationery",
Priority,,
Processed,,
Product,,
"Product Discount",,
"Product Discount Scheme",,
"Professional Abatement",,
"Professional Expense Abatement Rate",,
"Professional expense abatement as a percentage of net social. Default 40%.",,
Profile,,
"Profit And Loss","Guanys i pèrdues",
"Profit and Loss","Guanys i pèrdues",
Purchase,Compres,
"Purchase Acc.",,
"Purchase Amount",,
"Purchase Invoice",,
"Purchase Invoice Item",,
"Purchase Invoice Number Series",,
"Purchase Invoice Print Template",,
"Purchase Invoice Terms",,
"Purchase Invoices",,
"Purchase Item",,
"Purchase Item Created",,
"Purchase Items","Comprar artícles",
"Purchase Payment",,
"Purchase Payment Account",,
"Purchase Payments",,
"Purchase Receipt",,
"Purchase Receipt Item",,
"Purchase Receipt Location",,
"Purchase Receipt Number Series",,
"Purchase Receipt Print Template",,
"Purchase Receipt Terms",,
Purchases,Compres,
Purple,,
Purpose,,
"Q1 (Jan–Mar)",,
"Q2 (Apr–Jun)",,
"Q3 (Jul–Sep)",,
"Q4 (Oct–Dec)",,
Qty,,
"Qty in Batch",,
"Qty. ${0}",,
"Qty. in Transfer Unit",,
Quantity,Quantitats,
"Quantity (${0}) has to be greater than zero",,
"Quantity and Amount",,
"Quantity must be greater than zero.",,
"Quantity needs to be set",,
Quarter,,
Quarterly,Trimestral,
"Quarterly Wage Declaration (DTS)",,
Quarters,,
"Quick Search",,
"Quick edit error: ${0} entry has no name.",,
Quotation,,
Quote,,
"Quote Reference",,
Rate,Tarifa,
